File name,Spore/Conidia number,Area,Length,Width,Circularity
neurospora_002_YMG (10).JPG,1,416.875,32.836291917179885,16.210541507405715,0.8802601565962906
neurospora_002_YMG (1).JPG,1,585.,30.880853573629174,24.028860675282505,0.9573290806577192
neurospora_002_YMG (1).JPG,2,534.25,28.001578298806578,24.20351971885059,0.94803452965431
neurospora_002_YMG (2).JPG,1,413.375,26.745104907885477,19.6331438917958,0.9421811733906795
neurospora_002_YMG (3).JPG,1,608.75,29.748211765081408,25.893924637975864,0.964244887796259
neurospora_002_YMG (4).JPG,1,475.625,28.701324094272085,21.10884256464259,0.9326575984036514
neurospora_002_YMG (4).JPG,2,564.875,30.07887128002515,23.993803887017442,0.9409282550263869
neurospora_002_YMG (5).JPG,1,491.375,29.79781669875336,21.65073648504661,0.9086348177331358
neurospora_002_YMG (5).JPG,2,646.25,32.00947769595141,25.606752175170886,0.954684965966402
neurospora_002_YMG (6).JPG,1,534.5,33.29316950381478,20.330065067994134,0.9325198868455752
neurospora_002_YMG (7).JPG,1,430.5,24.50497906297254,22.44849722749622,0.9439923066962276
neurospora_002_YMG (7).JPG,2,380.875,23.792868630562456,20.58218981393752,0.8656490837207323
neurospora_002_YMG (7).JPG,3,730.5,42.81940321861638,22.41988837623814,0.8313666101676844
neurospora_002_YMG (8).JPG,1,529.875,31.399739368051062,21.456304722811957,0.947119887903705
neurospora_002_YMG (9).JPG,1,447.125,30.090887936927228,20.299066275986544,0.8890008161424705
neurospora_002_YMG (9).JPG,2,846.,37.92940855051885,28.53749798909986,0.9297610426332562
neurospora iva (10).JPG,1,896.,39.92769149101865,29.073171775953355,0.882155297259605
neurospora iva (1).JPG,1,2767.375,95.4801765192772,37.684202603099926,0.7890073064413775
neurospora iva (2).JPG,1,1494.625,57.23257152144064,33.386292114810516,0.8940205318363892
neurospora iva (3).JPG,1,1732.75,65.3587573108946,34.15504966860447,0.8477085596777897
neurospora iva (4).JPG,1,875.5,36.58550397168038,30.323985035561357,0.960593225301547
neurospora iva (5).JPG,1,272.75,21.380494027742703,16.098897557426156,0.9531370554431369
neurospora iva (5).JPG,2,655.75,33.398874357490136,24.989133192480484,0.938712813139307
neurospora iva (6).JPG,1,476.75,26.552310627727454,22.86315626961406,0.9755463428945623
neurospora iva (6).JPG,2,377.25,25.90771959359384,18.41022606223762,0.9687111151747514
neurospora iva (7).JPG,1,1531.125,52.72632743310514,36.85943638715139,0.9398261632616984
neurospora iva (8).JPG,1,802.375,43.814084004094504,23.18590278598515,0.9031304820714097
neurospora iva (9).JPG,1,1126.625,41.99572339317119,34.540552755201404,0.9155246067586148
